season,round,date,time,referee,home_team,away_team,result,home_score,away_score,home_gk_saves,away_gk_saves,home_penalties,away_penalties,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_on_target_from_penalty_area,away_shots_on_target_from_penalty_area,home_fouls,away_fouls,home_woodwork_hits,away_woodwork_hits,home_goal_chances,away_goal_chances,home_assists,away_assists,home_offsides,away_offsides,home_corner_kicks,away_corner_kicks,home_yel_cards,away_yel_cards,home_red_cards,away_red_cards,home_crosses,away_crosses,home_long_throws,away_long_throws,home_attacks_from_center,away_attacks_from_center,home_attacks_from_right,away_attacks_from_right,home_attacks_from_left,away_attacks_from_left
2005-06,1,2005-08-27,20:30,GIANLUCA PAPARESTA,FIORENTINA,SAMPDORIA,home,2,1,1,6,1,0,11,5,8,2,3,3,0,0,19,21,1,1,-,-,4,3,3,0,11,3,1,4,0,0,14,22,9,16,18,10,5,6,4,6
2005-06,1,2005-08-27,18:00,GIANLUCA ROCCHI,LIVORNO,LECCE,home,2,1,4,4,0,1,14,9,7,5,7,4,0,0,26,20,1,0,-,-,1,0,2,2,8,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,1,2005-08-28,20:30,MATTEO SIMONE,JUVENTUS,CHIEVOVERONA,home,1,0,0,6,0,0,15,1,7,0,8,1,0,0,21,13,0,0,-,-,9,1,8,11,6,2,1,2,0,0,28,12,24,15,17,5,9,5,8,1
2005-06,1,2005-08-28,15:00,ROBERTO ROSETTI,REGGINA,ROMA,away,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2005-06,1,2005-08-28,15:00,ANDREA DE,UDINESE,EMPOLI,home,1,0,4,7,0,0,12,8,8,4,4,4,0,0,20,12,0,0,-,-,0,0,2,4,6,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,1,2005-08-28,15:00,PAOLO DONDARINI,LAZIO,MESSINA,home,1,0,7,4,0,0,7,16,5,7,2,9,0,0,14,22,0,0,-,-,2,0,3,1,6,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,1,2005-08-28,15:00,PAOLO TAGLIAVENTO,INTER,TREVISO,home,3,0,3,6,0,0,15,7,9,3,6,4,0,0,11,20,1,0,-,-,2,0,5,0,7,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,1,2005-08-28,15:00,CHRISTIAN BRIGHI,ROBUR SIENA,CAGLIARI,home,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0
2005-06,1,2005-08-28,15:00,TIZIANO PIERI,PARMA,PALERMO,draw,1,1,7,1,0,0,6,14,2,9,4,5,0,0,20,10,0,1,-,-,8,9,4,1,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,1,2005-08-28,15:00,MASSIMO DE,ASCOLI,MILAN,draw,1,1,12,3,0,0,8,19,4,13,4,6,0,0,11,16,0,0,-,-,2,1,1,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,2,2005-09-10,20:30,STEFANO FARINA,MILAN,ROBUR SIENA,home,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,2,2005-09-10,18:00,GIANLUCA PAPARESTA,PALERMO,INTER,home,3,2,4,9,0,0,21,14,13,6,8,8,0,0,11,9,1,0,-,-,2,1,3,3,9,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0
